,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
98,31,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,executive / management,2012-06-29-06-59,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,f,pisces,no,english (fluently),single
105,42,fit,mostly anything,socially,never,graduated from masters program,white,65.0,-1,education / academia,2012-06-29-22-35,"mountain view, california",has kids,straight,likes dogs,judaism,f,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",single
106,45,fit,mostly anything,socially,never,graduated from masters program,asian,64.0,-1,executive / management,2012-06-24-20-20,"menlo park, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism and laughing about it,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
113,23,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66.0,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,straight,likes dogs and likes cats,other,f,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently),single
121,50,fit,mostly anything,socially,never,graduated from two-year college,white,75.0,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,straight,dislikes dogs and has cats,christianity and somewhat serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",single
123,21,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70.0,1000000,medicine / health,2012-06-29-17-01,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs,atheism and laughing about it,m,sagittarius and it&rsquo;s fun to think about,sometimes,english,single
137,50,average,mostly anything,often,never,college/university,white,73.0,80000,transportation,2012-06-29-21-54,"benicia, california",doesn&rsquo;t want kids,straight,has cats,other,m,libra,no,english,single
141,59,fit,anything,socially,never,graduated from masters program,white,73.0,80000,other,2011-08-15-09-32,"daly city, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,"english (fluently), english",single
167,26,curvy,mostly anything,socially,never,working on college/university,"hispanic / latin, white",63.0,20000,sales / marketing / biz dev,2012-06-23-23-10,"berkeley, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and likes cats,catholicism and laughing about it,f,gemini and it&rsquo;s fun to think about,no,english,single
168,26,fit,mostly anything,socially,never,graduated from college/university,white,68.0,70000,science / tech / engineering,2012-06-18-21-51,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,agnosticism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,no,english,single
176,27,athletic,mostly anything,socially,never,graduated from college/university,white,68.0,-1,computer / hardware / software,2012-05-27-14-46,"walnut creek, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,judaism but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,"english, russian",single
177,29,a little extra,mostly halal,often,never,dropped out of high school,white,72.0,250000,artistic / musical / writer,2011-08-23-23-38,"san francisco, california",doesn&rsquo;t want kids,straight,has dogs and dislikes cats,hinduism and very serious about it,m,cancer and it matters a lot,when drinking,"english (fluently), croatian (fluently), bengali (okay)",single
181,21,fit,mostly anything,socially,never,working on college/university,hispanic / latin,66.0,20000,sales / marketing / biz dev,2012-06-26-22-47,"mill valley, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (poorly), portuguese (poorly)",single
182,27,curvy,anything,often,never,graduated from college/university,white,68.0,-1,sales / marketing / biz dev,2012-06-29-21-59,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and has cats,agnosticism and laughing about it,f,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
189,37,fit,mostly anything,not at all,never,graduated from college/university,white,79.0,50000,entertainment / media,2012-06-29-21-31,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
195,32,a little extra,mostly anything,socially,never,graduated from masters program,white,63.0,-1,education / academia,2012-06-25-22-50,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,catholicism and somewhat serious about it,f,capricorn and it&rsquo;s fun to think about,sometimes,english (fluently),single
196,28,athletic,mostly anything,socially,sometimes,graduated from masters program,hispanic / latin,67.0,-1,banking / financial / real estate,2012-06-25-22-11,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,aquarius,trying to quit,"english, italian, french, spanish, russian",single
201,28,fit,mostly anything,socially,never,graduated from college/university,asian,67.0,-1,computer / hardware / software,2012-06-29-11-09,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,other but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (fluently), c++ (fluently)",single
203,31,fit,strictly anything,socially,never,working on ph.d program,white,63.0,-1,student,2012-06-29-13-11,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,agnosticism and very serious about it,f,gemini but it doesn&rsquo;t matter,when drinking,"english (fluently), french (okay)",single
211,33,average,mostly anything,rarely,never,graduated from college/university,white,72.0,-1,science / tech / engineering,2012-06-29-16-23,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,m,leo,no,"english (fluently), c++ (fluently), russian (poorly)",single
217,43,thin,strictly anything,socially,never,graduated from masters program,indian,65.0,-1,banking / financial / real estate,2012-06-29-20-02,"san francisco, california",has kids,straight,likes dogs and has cats,hinduism but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,english (fluently),single
223,42,athletic,anything,socially,never,working on space camp,white,63.0,-1,medicine / health,2012-06-29-17-04,"lafayette, california",has kids,straight,has dogs and has cats,christianity and somewhat serious about it,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
231,50,thin,mostly anything,socially,never,two-year college,hispanic / latin,66.0,-1,sales / marketing / biz dev,2012-06-29-20-35,"fremont, california",has kids,straight,likes dogs,christianity,f,leo,no,"english (fluently), spanish (fluently)",single
240,35,average,mostly other,rarely,never,graduated from college/university,asian,67.0,30000,entertainment / media,2012-06-28-17-17,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
242,30,average,mostly anything,socially,never,graduated from two-year college,asian,69.0,60000,medicine / health,2012-06-29-22-49,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,christianity and somewhat serious about it,m,aries and it matters a lot,no,english,single
249,34,average,mostly anything,socially,never,graduated from college/university,asian,62.0,60000,other,2012-06-29-18-22,"el cerrito, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,agnosticism but not too serious about it,f,gemini and it&rsquo;s fun to think about,when drinking,english (fluently),single
264,41,athletic,mostly anything,rarely,never,graduated from college/university,"asian, pacific islander",67.0,-1,other,2012-04-08-15-39,"burlingame, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,atheism and laughing about it,m,pisces but it doesn&rsquo;t matter,trying to quit,english (fluently),single
266,53,average,other,rarely,never,two-year college,white,69.0,-1,clerical / administrative,2012-06-29-20-20,"san mateo, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,christianity and very serious about it,f,libra and it&rsquo;s fun to think about,no,english,single
267,39,fit,mostly vegetarian,rarely,never,graduated from masters program,white,69.0,80000,science / tech / engineering,2012-06-29-08-54,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (okay), c++ (poorly)",single
278,42,fit,strictly anything,rarely,sometimes,graduated from college/university,white,64.0,80000,other,2012-06-28-22-03,"san rafael, california",doesn&rsquo;t want kids,straight,has cats,buddhism but not too serious about it,f,aquarius and it&rsquo;s fun to think about,no,"english, english",single
281,45,average,mostly other,socially,never,graduated from college/university,white,60.0,-1,sales / marketing / biz dev,2012-06-27-21-28,"menlo park, california","has kids, and might want more",straight,likes dogs and likes cats,other,f,libra and it&rsquo;s fun to think about,no,english (fluently),single
283,47,average,mostly anything,rarely,never,graduated from two-year college,white,69.0,50000,construction / craftsmanship,2012-06-28-16-38,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,christianity but not too serious about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
298,48,average,mostly vegetarian,socially,never,graduated from college/university,hispanic / latin,62.0,-1,other,2012-06-29-16-49,"san francisco, california",doesn&rsquo;t want kids,straight,has dogs,agnosticism,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), portuguese (fluently), spanish (okay), french (okay)",available
300,47,fit,mostly anything,not at all,never,dropped out of college/university,white,72.0,-1,construction / craftsmanship,2012-06-29-15-41,"oakland, california",doesn&rsquo;t want kids,straight,has dogs,agnosticism but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
304,32,athletic,mostly anything,socially,never,graduated from college/university,hispanic / latin,71.0,-1,sales / marketing / biz dev,2012-03-25-00-09,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,catholicism but not too serious about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (poorly)",single
310,55,average,mostly anything,socially,never,graduated from college/university,white,73.0,-1,computer / hardware / software,2012-06-29-22-19,"redwood city, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
322,19,average,mostly vegetarian,socially,sometimes,working on college/university,white,67.0,-1,student,2012-05-27-11-37,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and has cats,atheism and very serious about it,f,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (poorly)",single
328,63,average,mostly anything,socially,never,dropped out of ph.d program,white,65.0,-1,banking / financial / real estate,2012-06-05-07-53,"mill valley, california",has a kid,straight,likes dogs and has cats,judaism but not too serious about it,f,leo but it doesn&rsquo;t matter,no,"english (fluently), german (poorly), french (poorly)",single
335,61,average,mostly anything,socially,never,dropped out of college/university,white,63.0,70000,retired,2012-06-25-22-31,"walnut creek, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs and has cats,atheism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,trying to quit,"english, english",single
338,34,athletic,anything,socially,never,graduated from masters program,white,67.0,-1,executive / management,2012-06-28-07-19,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,agnosticism and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
347,19,a little extra,anything,not at all,never,working on two-year college,white,72.0,-1,student,2011-08-27-20-02,"belmont, california",doesn&rsquo;t want kids,bisexual,has dogs,atheism and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,english,single
354,34,curvy,mostly anything,rarely,never,graduated from college/university,white,68.0,40000,artistic / musical / writer,2012-06-28-21-42,"hayward, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,atheism,f,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), french (poorly)",single
356,26,fit,mostly vegetarian,socially,never,graduated from college/university,white,75.0,-1,science / tech / engineering,2012-06-30-00-16,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs,buddhism and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), japanese (poorly)",single
361,30,skinny,strictly anything,often,sometimes,graduated from space camp,white,69.0,-1,other,2012-06-30-00-17,"san rafael, california",doesn&rsquo;t want kids,straight,has dogs and has cats,other and laughing about it,f,libra and it&rsquo;s fun to think about,no,english (poorly),single
362,26,average,strictly anything,socially,never,graduated from masters program,white,73.0,-1,computer / hardware / software,2012-06-29-22-21,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), norwegian (fluently), swedish (okay), french (poorly)",single
372,35,average,vegan,socially,never,graduated from ph.d program,asian,71.0,50000,other,2012-06-29-14-17,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), latin (poorly), chinese (okay), c++ (poorly)",single
398,60,fit,mostly anything,socially,never,graduated from law school,white,71.0,-1,banking / financial / real estate,2012-06-26-06-13,"san francisco, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and dislikes cats,agnosticism,m,libra but it doesn&rsquo;t matter,no,"english (fluently), french (fluently), spanish (okay)",single
404,57,average,mostly vegetarian,rarely,never,graduated from college/university,white,62.0,-1,other,2012-06-29-22-31,"walnut creek, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and likes cats,other and somewhat serious about it,f,libra and it&rsquo;s fun to think about,no,english,single
405,43,curvy,mostly anything,socially,never,graduated from college/university,white,67.0,-1,banking / financial / real estate,2012-06-29-22-26,"berkeley, california","has a kid, and might want more",straight,has cats,buddhism but not too serious about it,f,cancer,no,english,single
411,41,thin,mostly anything,socially,never,graduated from college/university,"native american, white",64.0,-1,clerical / administrative,2012-04-04-15-13,"vallejo, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and dislikes cats,catholicism but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,english (fluently),single
414,49,curvy,mostly other,socially,never,graduated from masters program,white,68.0,-1,other,2012-06-28-14-39,"san rafael, california","has a kid, but doesn&rsquo;t want more",straight,likes dogs and has cats,other but not too serious about it,f,virgo but it doesn&rsquo;t matter,no,english,single
415,59,average,anything,socially,never,graduated from college/university,other,71.0,-1,science / tech / engineering,2012-06-28-20-36,"hayward, california",doesn&rsquo;t have kids,straight,dislikes cats,christianity,m,capricorn,no,english,single
420,33,full figured,mostly anything,often,never,graduated from college/university,white,73.0,-1,other,2012-06-28-06-26,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,f,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), italian (poorly)",single
436,47,fit,anything,socially,never,high school,white,76.0,60000,construction / craftsmanship,2012-06-20-10-14,"san mateo, california",has kids,straight,likes dogs and has cats,catholicism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,english,single
450,52,thin,strictly anything,often,never,graduated from masters program,white,65.0,-1,education / academia,2012-06-30-00-22,"san francisco, california",has kids,straight,likes dogs and has cats,agnosticism but not too serious about it,f,aquarius but it doesn&rsquo;t matter,no,english,single
460,22,average,mostly anything,socially,never,working on college/university,"asian, pacific islander",64.0,-1,sales / marketing / biz dev,2012-06-29-17-41,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,catholicism and somewhat serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), tagalog (fluently), spanish (okay)",single
463,44,average,strictly anything,socially,never,graduated from college/university,white,72.0,100000,construction / craftsmanship,2012-06-28-19-21,"san francisco, california",has kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,trying to quit,"english (fluently), german (okay)",single
469,32,average,mostly anything,socially,never,graduated from college/university,white,64.0,-1,entertainment / media,2012-06-29-20-21,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity but not too serious about it,f,taurus and it&rsquo;s fun to think about,no,english,single
471,39,fit,strictly vegan,not at all,never,graduated from college/university,"white, other",63.0,-1,other,2012-06-24-18-31,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,other and laughing about it,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), other (poorly)",single
472,47,fit,mostly vegetarian,socially,never,graduated from college/university,white,66.0,100000,artistic / musical / writer,2012-06-29-10-12,"mill valley, california",has a kid,straight,likes dogs and likes cats,other and laughing about it,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), japanese (poorly)",single
490,23,overweight,strictly anything,very often,often,graduated from college/university,white,72.0,20000,student,2012-06-24-23-08,"san francisco, california","has a kid, and wants more",straight,likes dogs and dislikes cats,other and somewhat serious about it,m,leo but it doesn&rsquo;t matter,no,english,single
493,48,fit,mostly anything,rarely,never,graduated from masters program,white,70.0,-1,banking / financial / real estate,2012-06-25-09-56,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,judaism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
496,59,fit,mostly anything,socially,never,graduated from college/university,asian,64.0,60000,education / academia,2012-06-29-21-36,"san rafael, california","has a kid, and might want more",straight,dislikes dogs and dislikes cats,other but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,"english, chinese, tagalog",single
502,30,athletic,strictly anything,socially,never,working on masters program,white,75.0,100000,military,2012-06-29-22-22,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism,m,leo and it&rsquo;s fun to think about,no,"english (fluently), portuguese (poorly)",available
504,18,athletic,strictly anything,socially,never,working on college/university,white,73.0,20000,student,2012-06-30-00-24,"sausalito, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other but not too serious about it,m,aries and it&rsquo;s fun to think about,no,english (fluently),single
507,27,thin,mostly vegetarian,socially,never,graduated from college/university,white,64.0,-1,entertainment / media,2012-02-05-08-51,"palo alto, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english, german (fluently), spanish (poorly), french (poorly)",single
512,43,average,mostly anything,often,often,working on space camp,white,69.0,-1,computer / hardware / software,2012-06-30-00-25,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism but not too serious about it,m,leo and it&rsquo;s fun to think about,when drinking,"english (poorly), english (okay), english (fluently), english, c++ (fluently)",single
518,41,average,mostly anything,socially,never,graduated from law school,white,75.0,-1,military,2012-03-05-00-09,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,buddhism but not too serious about it,m,cancer and it matters a lot,trying to quit,"english (fluently), chinese (poorly), tagalog (poorly)",single
542,49,athletic,strictly anything,socially,sometimes,dropped out of space camp,"white, other",70.0,-1,artistic / musical / writer,2012-06-29-10-16,"san francisco, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and likes cats,agnosticism and very serious about it,m,aquarius and it&rsquo;s fun to think about,no,"english, esperanto (poorly)",available
552,44,athletic,mostly anything,socially,sometimes,working on college/university,"native american, white, other",76.0,-1,other,2012-06-29-09-25,"san leandro, california",has kids,bisexual,likes dogs and has cats,other and very serious about it,m,aquarius and it matters a lot,no,english (fluently),available
564,41,fit,strictly anything,often,never,graduated from two-year college,white,66.0,-1,other,2012-06-23-21-19,"san francisco, california",doesn&rsquo;t want kids,bisexual,likes dogs and likes cats,atheism and somewhat serious about it,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly), french (poorly)",available
568,23,fit,mostly anything,socially,never,graduated from college/university,white,67.0,30000,artistic / musical / writer,2012-06-28-08-08,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay)",single
570,29,average,anything,socially,never,graduated from law school,white,74.0,-1,other,2012-06-30-00-28,"san mateo, california",doesn&rsquo;t have kids,straight,has dogs,catholicism,m,libra,no,english,single
572,33,thin,anything,not at all,never,graduated from college/university,white,60.0,-1,hospitality / travel,2012-06-26-09-06,"emeryville, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,christianity but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,english (fluently),single
574,25,athletic,mostly anything,socially,never,graduated from two-year college,hispanic / latin,63.0,30000,sales / marketing / biz dev,2012-04-24-23-08,"redwood city, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,catholicism but not too serious about it,m,pisces but it doesn&rsquo;t matter,trying to quit,english,single
575,61,fit,mostly anything,socially,never,graduated from college/university,white,68.0,-1,medicine / health,2012-06-28-16-37,"moraga, california",has kids,straight,likes dogs and dislikes cats,catholicism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),single
590,44,thin,mostly vegetarian,socially,sometimes,graduated from college/university,white,63.0,-1,artistic / musical / writer,2012-02-25-12-06,"san francisco, california",has kids,straight,likes dogs and has cats,other and laughing about it,f,aries and it&rsquo;s fun to think about,when drinking,english (fluently),seeing someone
592,30,fit,mostly anything,rarely,sometimes,college/university,white,66.0,40000,sales / marketing / biz dev,2012-06-29-16-37,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism,f,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
593,58,curvy,anything,socially,never,graduated from masters program,white,64.0,-1,executive / management,2012-03-12-23-34,"albany, california",has a kid,straight,has cats,judaism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,"english, english (fluently), hebrew (poorly), spanish (poorly), french (poorly)",single
598,47,average,mostly anything,rarely,never,graduated from masters program,"hispanic / latin, white",63.0,-1,executive / management,2012-06-27-22-35,"martinez, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,catholicism but not too serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
615,45,curvy,mostly anything,socially,never,graduated from masters program,white,63.0,-1,medicine / health,2011-10-11-13-56,"san francisco, california",has kids,straight,has dogs and likes cats,christianity and somewhat serious about it,f,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
616,24,average,strictly anything,not at all,never,graduated from college/university,white,68.0,-1,executive / management,2012-06-30-00-31,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,dislikes dogs and dislikes cats,agnosticism and very serious about it,f,capricorn and it&rsquo;s fun to think about,yes,english,single
634,31,thin,anything,socially,never,graduated from college/university,"hispanic / latin, white",74.0,20000,construction / craftsmanship,2012-01-18-12-26,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (okay)",available
637,37,athletic,mostly other,socially,never,graduated from two-year college,white,65.0,-1,other,2012-06-29-18-49,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,judaism but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,english (fluently),single
639,32,average,mostly anything,socially,never,graduated from law school,white,64.0,-1,law / legal services,2012-06-28-20-48,"alameda, california","doesn&rsquo;t have kids, but wants them",straight,likes cats,catholicism but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,english,single
640,18,average,mostly anything,not at all,never,graduated from high school,pacific islander,70.0,-1,military,2012-06-29-12-20,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,catholicism and laughing about it,m,capricorn but it doesn&rsquo;t matter,no,english,single
653,27,skinny,vegetarian,often,never,graduated from college/university,white,69.0,-1,education / academia,2012-06-29-19-13,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",gay,likes dogs and has cats,atheism and laughing about it,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), french (okay), spanish (poorly)",single
665,33,athletic,strictly anything,socially,never,graduated from college/university,white,67.0,-1,executive / management,2012-04-14-17-56,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
699,43,full figured,strictly anything,socially,sometimes,graduated from college/university,white,64.0,-1,artistic / musical / writer,2012-06-29-19-44,"hayward, california","has kids, but doesn&rsquo;t want more",straight,has dogs and likes cats,other but not too serious about it,f,scorpio but it doesn&rsquo;t matter,no,english (fluently),married
711,36,a little extra,mostly anything,not at all,never,graduated from two-year college,"asian, pacific islander",67.0,20000,other,2012-06-29-10-02,"vallejo, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,catholicism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,trying to quit,"english (fluently), tagalog (okay)",single
719,26,average,mostly vegetarian,very often,sometimes,dropped out of college/university,white,74.0,-1,sales / marketing / biz dev,2012-06-28-20-45,"oakland, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism,m,scorpio but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (poorly), sign language (poorly)",single
736,31,average,mostly anything,socially,never,graduated from two-year college,black,69.0,40000,transportation,2012-04-07-12-29,"oakland, california","has kids, and might want more",straight,likes dogs and likes cats,other and laughing about it,m,libra and it&rsquo;s fun to think about,trying to quit,english (fluently),single
